,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
768,3,28.0,1,0,24.15,0,1,0,1,0
532,3,17.0,1,1,7.2292,0,1,1,0,0
4,3,35.0,0,0,8.05,0,1,0,0,1
403,3,28.0,1,0,15.85,0,1,0,0,1
884,3,25.0,0,0,7.05,0,1,0,0,1
748,1,19.0,1,0,53.1,0,1,0,0,1
267,3,25.0,1,0,7.775,0,1,0,0,1
269,1,35.0,0,0,135.6333,1,0,0,0,1
317,2,54.0,0,0,14.0,0,1,0,0,1
772,2,57.0,0,0,10.5,1,0,0,0,1
311,1,18.0,2,2,262.375,1,0,1,0,0
36,3,28.0,0,0,7.2292,0,1,1,0,0
624,3,21.0,0,0,16.1,0,1,0,0,1
828,3,28.0,0,0,7.75,0,1,0,1,0
318,1,31.0,0,2,164.8667,1,0,0,0,1
46,3,28.0,1,0,15.5,0,1,0,1,0
343,2,25.0,0,0,13.0,0,1,0,0,1
488,3,30.0,0,0,8.05,0,1,0,0,1
465,3,38.0,0,0,7.05,0,1,0,0,1
598,3,28.0,0,0,7.225,0,1,1,0,0
417,2,18.0,0,2,13.0,1,0,0,0,1
246,3,25.0,0,0,7.775,1,0,0,0,1
191,2,19.0,0,0,13.0,0,1,0,0,1
550,1,17.0,0,2,110.8833,0,1,1,0,0
670,2,40.0,1,1,39.0,1,0,0,0,1
524,3,28.0,0,0,7.2292,0,1,1,0,0
406,3,51.0,0,0,7.75,0,1,0,0,1
862,1,48.0,0,0,25.9292,1,0,0,0,1
709,3,28.0,1,1,15.2458,0,1,1,0,0
231,3,29.0,0,0,7.775,0,1,0,0,1
185,1,28.0,0,0,50.0,0,1,0,0,1
855,3,18.0,0,1,9.35,1,0,0,0,1
253,3,30.0,1,0,16.1,0,1,0,0,1
399,2,28.0,0,0,12.65,1,0,0,0,1
776,3,28.0,0,0,7.75,0,1,0,1,0
157,3,30.0,0,0,8.05,0,1,0,0,1
372,3,19.0,0,0,8.05,0,1,0,0,1
436,3,21.0,2,2,34.375,1,0,0,0,1
396,3,31.0,0,0,7.8542,1,0,0,0,1
210,3,24.0,0,0,7.05,0,1,0,0,1
388,3,28.0,0,0,7.7292,0,1,0,1,0
39,3,14.0,1,0,11.2417,1,0,1,0,0
163,3,17.0,0,0,8.6625,0,1,0,0,1
478,3,22.0,0,0,7.5208,0,1,0,0,1
636,3,32.0,0,0,7.925,0,1,0,0,1
235,3,28.0,0,0,7.55,1,0,0,0,1
145,2,19.0,1,1,36.75,0,1,0,0,1
260,3,28.0,0,0,7.75,0,1,0,1,0
548,3,33.0,1,1,20.525,0,1,0,0,1
335,3,28.0,0,0,7.8958,0,1,0,0,1
676,3,24.5,0,0,8.05,0,1,0,0,1
390,1,36.0,1,2,120.0,0,1,0,0,1
663,3,36.0,0,0,7.4958,0,1,0,0,1
836,3,21.0,0,0,8.6625,0,1,0,0,1
31,1,28.0,1,0,146.5208,1,0,1,0,0
859,3,28.0,0,0,7.2292,0,1,1,0,0
3,1,35.0,1,0,53.1,1,0,0,0,1
815,1,28.0,0,0,0.0,0,1,0,0,1
68,3,17.0,4,2,7.925,1,0,0,0,1
411,3,28.0,0,0,6.8583,0,1,0,1,0
607,1,27.0,0,0,30.5,0,1,0,0,1
67,3,19.0,0,0,8.1583,0,1,0,0,1
293,3,24.0,0,0,8.85,1,0,0,0,1
622,3,20.0,1,1,15.7417,0,1,1,0,0
429,3,32.0,0,0,8.05,0,1,0,0,1
807,3,18.0,0,0,7.775,1,0,0,0,1
811,3,39.0,0,0,24.15,0,1,0,0,1
452,1,30.0,0,0,27.75,0,1,1,0,0
336,1,29.0,1,0,66.6,0,1,0,0,1
793,1,28.0,0,0,30.6958,0,1,1,0,0
691,3,4.0,0,1,13.4167,1,0,1,0,0
180,3,28.0,8,2,69.55,1,0,0,0,1
455,3,29.0,0,0,7.8958,0,1,1,0,0
777,3,5.0,0,0,12.475,1,0,0,0,1
755,2,0.67,1,1,14.5,0,1,0,0,1
32,3,28.0,0,0,7.75,1,0,0,1,0
495,3,28.0,0,0,14.4583,0,1,1,0,0
265,2,36.0,0,0,10.5,0,1,0,0,1
536,1,45.0,0,0,26.55,0,1,0,0,1
402,3,21.0,1,0,9.825,1,0,0,0,1
320,3,22.0,0,0,7.25,0,1,0,0,1
756,3,28.0,0,0,7.7958,0,1,0,0,1
834,3,18.0,0,0,8.3,0,1,0,0,1
37,3,21.0,0,0,8.05,0,1,0,0,1
537,1,30.0,0,0,106.425,1,0,1,0,0
492,1,55.0,0,0,30.5,0,1,0,0,1
596,2,28.0,0,0,33.0,1,0,0,0,1
167,3,45.0,1,4,27.9,1,0,0,0,1
115,3,21.0,0,0,7.925,0,1,0,0,1
195,1,58.0,0,0,146.5208,1,0,1,0,0
671,1,31.0,1,0,52.0,0,1,0,0,1
704,3,26.0,1,0,7.8542,0,1,0,0,1
446,2,13.0,0,1,19.5,1,0,0,0,1
792,3,28.0,8,2,69.55,1,0,0,0,1
444,3,28.0,0,0,8.1125,0,1,0,0,1
762,3,20.0,0,0,7.2292,0,1,1,0,0
160,3,44.0,0,1,16.1,0,1,0,0,1
860,3,41.0,2,0,14.1083,0,1,0,0,1
877,3,19.0,0,0,7.8958,0,1,0,0,1
590,3,35.0,0,0,7.125,0,1,0,0,1
485,3,28.0,3,1,25.4667,1,0,0,0,1
605,3,36.0,1,0,15.55,0,1,0,0,1
38,3,18.0,2,0,18.0,1,0,0,0,1
241,3,28.0,1,0,15.5,1,0,0,1,0
66,2,29.0,0,0,10.5,1,0,0,0,1
802,1,11.0,1,2,120.0,0,1,0,0,1
296,3,23.5,0,0,7.2292,0,1,1,0,0
529,2,23.0,2,1,11.5,0,1,0,0,1
254,3,41.0,0,2,20.2125,1,0,0,0,1
83,1,28.0,0,0,47.1,0,1,0,0,1
370,1,25.0,1,0,55.4417,0,1,1,0,0
864,2,24.0,0,0,13.0,0,1,0,0,1
747,2,30.0,0,0,13.0,1,0,0,0,1
870,3,26.0,0,0,7.8958,0,1,0,0,1
633,1,28.0,0,0,0.0,0,1,0,0,1
651,2,18.0,0,1,23.0,1,0,0,0,1
711,1,28.0,0,0,26.55,0,1,0,0,1
852,3,9.0,1,1,15.2458,1,0,1,0,0
218,1,32.0,0,0,76.2917,1,0,1,0,0
319,1,40.0,1,1,134.5,1,0,1,0,0
386,3,1.0,5,2,46.9,0,1,0,0,1
139,1,24.0,0,0,79.2,0,1,1,0,0
878,3,28.0,0,0,7.8958,0,1,0,0,1
350,3,23.0,0,0,9.225,0,1,0,0,1
743,3,24.0,1,0,16.1,0,1,0,0,1
358,3,28.0,0,0,7.8792,1,0,0,1,0
285,3,33.0,0,0,8.6625,0,1,1,0,0
198,3,28.0,0,0,7.75,1,0,0,1,0
609,1,40.0,0,0,153.4625,1,0,0,0,1
257,1,30.0,0,0,86.5,1,0,0,0,1
742,1,21.0,2,2,262.375,1,0,1,0,0
474,3,22.0,0,0,9.8375,1,0,0,0,1
733,2,23.0,0,0,13.0,0,1,0,0,1
433,3,17.0,0,0,7.125,0,1,0,0,1
392,3,28.0,2,0,7.925,0,1,0,0,1
531,3,28.0,0,0,7.2292,0,1,1,0,0
131,3,20.0,0,0,7.05,0,1,0,0,1
342,2,28.0,0,0,13.0,0,1,0,0,1
13,3,39.0,1,5,31.275,0,1,0,0,1
107,3,28.0,0,0,7.775,0,1,0,0,1
701,1,35.0,0,0,26.2875,0,1,0,0,1
405,2,34.0,1,0,21.0,0,1,0,0,1
785,3,25.0,0,0,7.25,0,1,0,0,1
643,3,28.0,0,0,56.4958,0,1,0,0,1
566,3,19.0,0,0,7.8958,0,1,0,0,1
134,2,25.0,0,0,13.0,0,1,0,0,1
673,2,31.0,0,0,13.0,0,1,0,0,1
100,3,28.0,0,0,7.8958,1,0,0,0,1
487,1,58.0,0,0,29.7,0,1,1,0,0
277,2,28.0,0,0,0.0,0,1,0,0,1
132,3,47.0,1,0,14.5,1,0,0,0,1
25,3,38.0,1,5,31.3875,1,0,0,0,1
721,3,17.0,1,0,7.0542,0,1,0,0,1
56,2,21.0,0,0,10.5,1,0,0,0,1
707,1,42.0,0,0,26.2875,0,1,0,0,1
324,3,28.0,8,2,69.55,0,1,0,0,1
794,3,25.0,0,0,7.8958,0,1,0,0,1
99,2,34.0,1,0,26.0,0,1,0,0,1
674,2,28.0,0,0,0.0,0,1,0,0,1
76,3,28.0,0,0,7.8958,0,1,0,0,1
697,3,28.0,0,0,7.7333,1,0,0,1,0
471,3,38.0,0,0,8.6625,0,1,0,0,1
321,3,27.0,0,0,7.8958,0,1,0,0,1
302,3,19.0,0,0,0.0,0,1,0,0,1
679,1,36.0,0,1,512.3292,0,1,1,0,0
410,3,28.0,0,0,7.8958,0,1,0,0,1
523,1,44.0,0,1,57.9792,1,0,1,0,0
365,3,30.0,0,0,7.25,0,1,0,0,1
194,1,44.0,0,0,27.7208,1,0,1,0,0
12,3,20.0,0,0,8.05,0,1,0,0,1
842,1,30.0,0,0,31.0,1,0,1,0,0
506,2,33.0,0,2,26.0,1,0,0,0,1
727,3,28.0,0,0,7.7375,1,0,0,1,0
377,1,27.0,0,2,211.5,0,1,1,0,0
146,3,27.0,0,0,7.7958,0,1,0,0,1
767,3,30.5,0,0,7.75,1,0,0,1,0
354,3,28.0,0,0,7.225,0,1,1,0,0
22,3,15.0,0,0,8.0292,1,0,0,1,0
126,3,28.0,0,0,7.75,0,1,0,1,0
279,3,35.0,1,1,20.25,1,0,0,0,1
453,1,49.0,1,0,89.1042,0,1,1,0,0
250,3,28.0,0,0,7.25,0,1,0,0,1
425,3,28.0,0,0,7.25,0,1,0,0,1
58,2,5.0,1,2,27.75,1,0,0,0,1
482,3,50.0,0,0,8.05,0,1,0,0,1
